DATE,BRKA
2006-01,0.009817197020988532
2006-02,-0.030059224494356617
2006-03,0.04089861751152008
2006-04,-0.014941892639733851
2006-05,0.03696629213483104
2006-06,-0.00683714378589224
2006-07,-0.0006436901995441774
2006-08,0.049093886462882166
2006-09,-0.0030906271787880762
2006-10,0.10099164926931051
2006-11,0.015406494429960295
2006-12,0.026984126984126888
2007-01,0.0005455041367400047
2007-02,-0.03507496592457975
2007-03,0.026367831245879776
2007-04,0.0019267822736029764
2007-05,0.00265567765567786
2007-06,-0.00013699881267667782
2007-07,0.004795615437314727
2007-08,0.07627272727272717
2007-09,0.0010135991215474084
2007-10,0.1180491097797648
2007-11,0.0573584905660368
2007-12,0.010706638115631951
2008-01,-0.03954802259886993
2008-02,0.029411764705882422
2008-03,-0.04714285714285688
